appliance,standard,channel width,Wifi dir,clients,channel,tx,rx,chamber,offered load,frame size,distance from ant (cm),antenna slant,orientation,Total Rx Count (Mbis),duration,Throughput,client ant,txpower (dBm)
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,45,135,30942,60,516,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,90,135,24006,60,400,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,77.5,292,42415,60,707,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,77.5,292,42053,60,701,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,2000,1518,50,77.5,292,42302,60,705,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,780,1518,50,77.5,292,42099,60,702,0,20
v0,802.11ac,80,rx,1,0,0,30,closed,1000,1518,50,77.5,292,27796,60,463,0,20
v0,802.11ac,80,rx,1,0,0,10,closed,1000,1518,50,77.5,292,39425,60,657,0,20
v0,802.11ac,80,rx,1,0,0,5,closed,1000,1518,50,77.5,292,39439,60,657,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,77.5,292,42194,60,703,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,15,77.5,292,43832,60,731,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,15,77.5,320,45759,60,763,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,15,77.5,350,39566,60,659,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,15,77.5,300,41149,60,686,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,15,77.5,310,45338,60,756,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,15,77.5,310,45146,60,752,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,2000,15,77.5,310,45146,60,0,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1600,15,77.5,310,46336,60,772,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1700,15,77.5,310,46336,60,0,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1650,15,77.5,310,46125,60,769,na,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1625,15,77.5,310,46203,60,770,na,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,100,77.5,310,46498,60,775,na,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,200,77.5,310,38222,60,637,na,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,150,77.5,310,38013,60,634,na,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,100,77.5,310,46498,60,775,na,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,95,77.5,310,46654,60,778,na,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,95,77.5,310,42152,60,703,0,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,95,77.5,310,43968,60,733,45,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,95,77.5,310,40659,60,678,90,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,95,77.5,310,44127,60,735,22.5,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,95,77.5,310,45389,60,756,77.5,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,90,77.5,310,43570,60,726,77.5,20
v0,802.11ac,80,rx,1,0,0,0,open,1000,1625,92,77.5,310,42775,60,713,77.5,20
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1500,15,77.5,310,45724,60,762,77.5,20
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,310,45720,60,762,77.5,20
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,45577,60,760,77.5,23
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,4575,60,76,77.5,5
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,45691,60,762,77.5,17
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,45706,60,762,77.5,14
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,45691,60,762,77.5,11
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,45646,60,761,77.5,8
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,3601,60,60,77.5,5
v0,802.11ac,80,tx,1,0,0,0,closed,1000,1625,15,77.5,300,3601,60,60,77.5,25
